"nombre","web","linkedin","especialidades","ubicacion"
"shifta","https://shifta.la","https://www.linkedin.com/company/weareshifters","product discovery , continuous evolution , software development , user experience , productos digitales, mvp, staff augmentation, estrategia de producto, consultoria estrategica, consultoria técnica, inteligencia artificial, user research, data governance, data migration y digital products.","buenos aires"
"sia interactive","https://www.siainteractive.com","https://www.linkedin.com/company/sia-interactive","digital signage, menu boards, digital content, video wall controllers y control rooms.",
"sicilia lab","https://sicilialabs.tech","https://www.linkedin.com/company/sicilia-labs-tech","servicios y consultoría de ti.",
"sidesys","https://sidesys.com","https://www.linkedin.com/company/sidesys","software de control de turnos, software de citas por internet, software de encuestas, mesa de ayuda, desarrollo de software a medida, app de turnos, app de citas, software de gestión de filas, optimización de la experiencia del cliente y mejora en la atención al público.",
"sif america","https://www.comex.com.ar","https://www.linkedin.com/company/sif-america","servicios y consultoría de ti.","buenos aires"
"sig","https://www.sig2k.com","https://www.linkedin.com/company/soluciones-informaticas-globales-s.a.","software erp, sistemas de gestión, business intelligence, soluciones en la nube y soluciones móviles.",
"silent port","https://silent-port.com","https://www.linkedin.com/company/silent-port","app development, software development, web development, ai agents, databases, api development, software consulting, software, tech partner, systems integration, automations y software partner.",
"sisa","https://latam.sisa.com.ar","https://www.linkedin.com/company/sisa-latam","soluciones erp, bpm y saas.",
"sistemas dypsa","https://www.sisdypsa.com.ar","https://www.linkedin.com/company/sistemas-dypsa","desarrollo de software, implementacion de aplicaciones, aplicaciones moviles, mesa de ayuda y consultoría informática.","buenos aires"
"sitepro","https://sitepro.com.ar/web","https://www.linkedin.com/company/sitepro-sa","seguridad informatica, seguridad física, fabricantes de llaves hardkey, autentificacion fuerte de usuario, firma digital, tokes, protección de la información, cifrado de datos, etokenpro y luna sa.","buenos aires"
"sixhat","https://www.sixhat.com.ar","https://www.linkedin.com/company/sixhat-it-argentina","servicios y tecnologías de la información.",
"skydiving","https://skydiving365.com.ar","https://www.linkedin.com/company/skydiving365","microsoft, transformación digital, dynamics365, powerapps, staffing, business central, erp, crm, consultoría en procesos, governance it, business intelligence y copilot 365.",
"smartway","https://www.smartway.com.ar","https://www.linkedin.com/company/smartway-srl","analisis, gestion y desarrollo de plataformas web, analisis, gestion y desarrollo de software, soporte it nivel #2, smart.service, telecomunicaciones, field service, outsourcing, digital signage, ingenieria de software, infraestructura it y software factory.","buenos aires"
